query_label,repository_name,owner_login,full_name,url,description,topics,created_at,pushed_at,stars,forks,primary_language,issues_total,pull_requests_total,releases_total,contributors_count
stars_5001_7500,twirp,twitchtv,twitchtv/twirp,https://github.com/twitchtv/twirp,A simple RPC framework with protobuf service definitions,twirp | go | rpc | protobuf,2018-01-16T16:37:30Z,2024-08-05T21:36:11Z,7500,320,Go,191,213,29,98
stars_5001_7500,generative-models,wiseodd,wiseodd/generative-models,https://github.com/wiseodd/generative-models,"Collection of generative models, e.g. GAN, VAE in Pytorch and Tensorflow.",vae | gan | pytorch | tensorflow | generative-model | machine-learning | rbm | restricted-boltzmann-machine,2016-12-07T11:28:16Z,2024-03-24T20:38:46Z,7499,2018,Python,66,14,0,7
stars_5001_7500,miniserve,svenstaro,svenstaro/miniserve,https://github.com/svenstaro/miniserve,🌟 For when you really just want to serve some files over HTTP right now!,serve | http-server | server | static-files | cli | command-line | command-line-tool,2018-04-26T09:52:56Z,2026-03-03T17:14:11Z,7498,368,Rust,333,1218,52,86
stars_5001_7500,infinite-scroll,metafizzy,metafizzy/infinite-scroll,https://github.com/metafizzy/infinite-scroll,📜 Automatically add next page,jquery-plugin | javascript-plugin | ui | ajax,2010-05-04T17:28:57Z,2025-03-08T13:42:52Z,7498,1706,HTML,809,172,9,57
stars_5001_7500,echarts-for-weixin,ecomfe,ecomfe/echarts-for-weixin,https://github.com/ecomfe/echarts-for-weixin,基于 Apache ECharts 的微信小程序图表库,echarts | weixin | chart | visualization,2018-02-26T03:49:10Z,2024-06-09T03:51:09Z,7494,1607,JavaScript,931,30,5,9
stars_5001_7500,tinydb,msiemens,msiemens/tinydb,https://github.com/msiemens/tinydb,TinyDB is a lightweight document oriented database optimized for your happiness :),python | nosql | database | documentdb | json,2013-07-12T23:31:13Z,2026-01-17T21:45:18Z,7493,604,Python,329,185,63,95
stars_5001_7500,awesome-electronics,kitspace,kitspace/awesome-electronics,https://github.com/kitspace/awesome-electronics,A curated list of awesome resources for Electronic Engineers and hobbyists,awesome | electronics | hardware | pcb | kicad | eagle | gerber | altium,2016-07-26T00:30:56Z,2026-01-05T18:43:02Z,7493,485,,23,107,0,51
stars_5001_7500,php-file-iterator,sebastianbergmann,sebastianbergmann/php-file-iterator,https://github.com/sebastianbergmann/php-file-iterator,"FilterIterator implementation that filters files based on a list of suffixes, prefixes, and other exclusion criteria.",,2009-11-05T05:02:08Z,2026-02-06T04:34:16Z,7492,47,PHP,36,48,6,19
stars_5001_7500,LeetCode,yuanguangxin,yuanguangxin/LeetCode,https://github.com/yuanguangxin/LeetCode,LeetCode刷题记录与面试整理,leetcode | leetcode-solutions | leetcode-java | leetcode-classification,2020-01-11T01:02:02Z,2025-06-07T10:03:55Z,7492,1869,Java,5,6,0,3
stars_5001_7500,fl_chart,imaNNeo,imaNNeo/fl_chart,https://github.com/imaNNeo/fl_chart,"FL Chart is a highly customizable Flutter chart library that supports Line Chart, Bar Chart, Pie Chart, Scatter Chart, Radar Chart and Candlestick Chart.",flutter-widget | flutter | chart | charts | fl-chart | graph | linechart | barchart | piechart | datasets | radar-chart | scatter-chart | scatter-plot | radar-graphs | hacktoberfest | candlestick | candlestick-chart | candlesticks,2019-05-12T13:00:57Z,2026-03-13T20:50:14Z,7490,1957,Dart,1233,765,105,127
stars_5001_7500,libhv,ithewei,ithewei/libhv,https://github.com/ithewei/libhv,🔥 比libevent/libuv/asio更易用的网络库。A c/c++ network library for developing TCP/UDP/SSL/HTTP/WebSocket/MQTT client/server.,https | http-client | http-server | websocket | websocket-client | websocket-server | webserver | epoll | curl | openssl | requests | wrk | kcp | mqtt | iocp,2018-08-28T05:47:15Z,2026-03-23T03:33:20Z,7490,1347,C,601,186,14,67
stars_5001_7500,r0capture,r0ysue,r0ysue/r0capture,https://github.com/r0ysue/r0capture,安卓应用层抓包通杀脚本,,2020-11-29T07:37:06Z,2026-03-09T03:10:28Z,7490,1489,Python,121,7,0,6
stars_5001_7500,arwes,arwes,arwes/arwes,https://github.com/arwes/arwes,Futuristic Sci-Fi UI Web Framework.,sci-fi | scifi | ui | gui | framework | react | science-fiction | arwes | cyberprep | solarpunk | synthwave | retrowave,2015-01-08T02:10:24Z,2025-02-11T03:37:51Z,7490,328,TypeScript,120,90,13,7
stars_5001_7500,Awesome-Black-Friday-Cyber-Monday,trungdq88,trungdq88/Awesome-Black-Friday-Cyber-Monday,https://github.com/trungdq88/Awesome-Black-Friday-Cyber-Monday,"Awesome apps, software, and SaaS deals on Black Friday.",,2022-11-22T06:16:23Z,2025-11-30T01:11:39Z,7489,1588,,62,2226,0,1230
stars_5001_7500,istoreos,istoreos,istoreos/istoreos,https://github.com/istoreos/istoreos,提供一个人人会用的的路由、NAS系统 （目前活跃的分支是 istoreos-24.10，main或master分支不维护请勿使用）,istore | koolcenter | linkease | nas | openwrt | router | istoreos,2022-03-16T00:17:14Z,2026-03-19T07:28:07Z,7487,846,C,2580,98,0,1583
stars_5001_7500,jsonnet,google,google/jsonnet,https://github.com/google/jsonnet,Jsonnet - The data templating language,jsonnet | configuration | config | functional | json,2014-08-01T20:29:12Z,2026-03-24T14:55:08Z,7485,473,Jsonnet,671,621,40,165
stars_5001_7500,web-skills,andreasbm,andreasbm/web-skills,https://github.com/andreasbm/web-skills,A visual overview of useful skills to learn as a web developer,html | css | javascript | accessibility | web-components | pwa | build-tools | frameworks | testing | architecture | design | algorithms | backend,2019-09-29T13:11:44Z,2024-04-19T03:22:28Z,7482,716,JavaScript,51,26,0,4
stars_5001_7500,version,phar-io,phar-io/version,https://github.com/phar-io/version,Library for handling version information and constraints,,2016-11-30T11:00:48Z,2024-01-31T22:47:27Z,7481,18,PHP,19,18,9,12
stars_5001_7500,lightningcss,parcel-bundler,parcel-bundler/lightningcss,https://github.com/parcel-bundler/lightningcss,"An extremely fast CSS parser, transformer, bundler, and minifier written in Rust.",css | parser | compiler | minifier | rust | build-tool,2021-10-09T19:54:41Z,2026-03-12T19:03:05Z,7481,253,Rust,838,308,60,91
stars_5001_7500,cowboy,ninenines,ninenines/cowboy,https://github.com/ninenines/cowboy,"Small, fast, modern HTTP server for Erlang/OTP.",erlang | http | http2 | http-server | websocket | websockets | websocket-server | rest | cowboy | high-performance | production-ready | web | web-framework | functional | https | http2-server | http3 | http3-server | webtransport,2011-03-09T19:55:52Z,2026-02-13T15:40:10Z,7480,1167,Erlang,1161,527,0,149
stars_5001_7500,awesome-prompts,ai-boost,ai-boost/awesome-prompts,https://github.com/ai-boost/awesome-prompts,"Curated list of chatgpt prompts from the top-rated GPTs in the GPTs Store. Prompt Engineering, prompt attack & prompt protect. Advanced Prompt Engineering papers.",awesome | awesome-list | chatgpt | gpts | gptstore | prompt | prompt-engineering | gpt4 | papers,2024-01-19T15:15:10Z,2025-06-20T07:38:15Z,7479,685,,16,13,0,7
stars_5001_7500,majestic,Raathigesh,Raathigesh/majestic,https://github.com/Raathigesh/majestic,⚡ Zero config GUI for Jest,jest | developer-tools | react | developer-experience,2017-11-28T10:28:30Z,2022-05-03T14:54:05Z,7478,173,TypeScript,137,95,11,36
stars_5001_7500,jwt,lcobucci,lcobucci/jwt,https://github.com/lcobucci/jwt,A simple library to work with JSON Web Token and JSON Web Signature,php | jwt | tokens | hacktoberfest,2014-03-05T19:23:23Z,2026-03-26T01:49:22Z,7478,602,PHP,384,725,59,65
